areaCode,areaName,areaDefinition
10,United States,United States of America
101,Northeast,The Northeast (one of the four US census main regions)
1011,New England,New England (one of the nine US geographic subdivisions)
10111,Massachusetts,Massachusetts (US state)
10112,Connecticut,Connecticut (US state)
10113,New Hampshire,New Hampshire (US state)
10114,Maine,Maine (US state)
10115,Rhode Island,Rhode Island (US state)
10116,Vermont,Vermont (US state)
1012,Mid-Atlantic,Middle Atlantic states (one of the nine US geographic subdivisions)
10121,New York,New York (US state)
10122,Pennsylvania,Pennsylvania (US state)
10123,New Jersey,New Jersey (US state)
102,South,The South (one of the four US census main regions)
1021,South Atlantic,South Atlantic states (one of the nine US geographic subdivisions)
10211,Florida,Florida (US state)
10212,Georgia,Georgia (US state)
10213,North Carolina,North Carolina (US state)
10214,Virginia,Virginia (US state)
10215,Maryland,Maryland (US state)
10216,South Carolina,South Carolina (US state)
10217,West Virginia,West Virginia (US state)
10218,Delaware,Delaware (US state)
10219,District of Columbia,District of Columbia (US state)
1022,East South Central,East South Central states (one of the nine US geographic subdivisions)
10221,Tennessee,Tennessee (US state)
10222,Alabama,Alabama (US state)
10223,Kentucky,Kentucky (US state)
10224,Mississippi,Mississippi (US state)
1023,West South Central,West South Central states (one of the nine US geographic subdivisions)
10231,Texas,Texas (US state)
10232,Louisiana,Louisiana (US state)
10233,Oklahoma,Oklahoma (US state)
10234,Arkansas,Arkansas (US state)
103,Midwest,The Midwest (one of the four US census main regions)
1031,East North Central,East North Central states (one of the nine US geographic subdivisions)
10311,Illinois,Illinois (US state)
10312,Ohio,Ohio (US state)
10313,Michigan,Michigan (US state)
10314,Indiana,Indiana (US state)
10315,Wisconsin,Wisconsin (US state)
1032,West North Central,West North Central (one of the nine US geographic subdivisions)
10321,Missouri,Missouri (US state)
10322,Minnesota,Minnesota (US state)
10323,Iowa,Iowa (US state)
10324,Kansas,Kansas (US state)
10325,Nebraska,Nebraska (US state)
10326,South Dakota,South Dakota (US state)
10327,North Dakota,North Dakota (US state)
104,West,The West (one of the four US census main regions)
1041,Mountain,Mountain West states (one of the nine US geographic subdivisions)
10411,Arizona,Arizona (US state)
10412,Colorado,Colorado (US state)
10413,Utah,Utah (US state)
10414,Nevada,Nevada (US state)
10415,New Mexico,New Mexico (US state)
10416,Idaho,Idaho (US state)
10417,Montana,Montana (US state)
10418,Wyoming,Wyoming (US state)
1042,Pacific,Pacific states or West Coast states (one of the nine US geographic subdivisions)
10421,California,California (US state)
10422,Washington,Washington (US state)
10423,Oregon,Oregon (US state)
10424,Hawaii,Hawaii (US state)
10425,Alaska,Alaska (US state)
10501,Puerto Rico,Puerto Rico (unincorporated US territory)
10502,Guam,Guam (unincorporated US territory)
10503,U.S. Virgin Islands,U.S. Virgin Islands (unincorporated US territory)
10504,American Samoa,American Samoa (unincorporated US territory)
10505,Northern Mariana Islands,Northern Mariana Islands (unincorporated US territory)
378,San Marino,Republic of San Marino
386,Slovenia,Slovenia
38601,Eastern Slovenia,Eastern Slovenia (first of two slovenian cohesion regions)
386011,Mura,Mura (statistical region from eastern Slovenia)
386012,Drava,Drava (statistical region from eastern Slovenia)
386013,Carinthia,Carinthia (statistical region from eastern Slovenia)
386014,Savinja,Savinja (statistical region from eastern Slovenia)
386015,Central Sava,Central Sava (statistical region from eastern Slovenia)
386016,Lower Sava,Lower Sava (statistical region from eastern Slovenia)
386017,Southeast Slovenia,Southeast Slovenia (statistical region from eastern Slovenia)
386018,Littoral-Inner Carniola,Littoral-Inner Carniola (statistical region from eastern Slovenia)
38602,Western Slovenia ,Western Slovenia (second of two slovenian cohesion regions)
386021,Central Slovenia,Central Slovenia (statistical region from western Slovenia)
386022,Upper Carniola,Upper Carniola (statistical region from western Slovenia)
386023,Gorizia,Gorizia (statistical region from western Slovenia)
386024,Coastal-Karst,Coastal-Karst (statistical region from western Slovenia)
41,Switzerland,Swiss Confederation
4101,Zurich,Canton of Zürich
4102,Berne,Canton of Berne
4103,Lucerne,Canton of Lucerne
4104,Uri,Canton of Uri
4105,Schwyz,Canton of Schwyz
4106,Obwald,Obwalden
4107,Nidwald,Nidwalden
4108,Glaris,Canton of Glaris
4109,Zoug,Canton of Zug
4110,Friburg,Canton of Friburg
4111,Soleure,Canton of Soleure
4112,Basle-City,Canton of Basle-Stadt
4113,Basle-Country,Canton of Basle-Landschaft
4114,Schaffhouse,Canton of Schaffhouse
4115,Appenzell Outer-Rhodes,Canton of Appenzell Outer-Rhodes
4116,Appenzell Inner-Rhodes,Canton of Appenzell Inner-Rhodes
4117,St. Gall,Canton of St. Gall
4118,Grisons,Canton of the Grisons
4119,Argovia,Canton of Aargau
4120,Thurgovia,Canton of Thurgau
4121,Tessin,Republic and Canton of Ticino
4122,Vaud,Canton of Vaud
4123,Wallis,Canton of Valais
4124,Neuchâtel,Republic and Canton of Neuchâtel
4125,Geneva,Republic and Canton of Geneva
4126,Jura,Republic and Canton of Jura
423,Liechtenstein,Principality of Liechtenstein
43,Austria,Republica d'Austria
4301,Vienna,Vienna (Capital city and Federal State of Austria)
4302,Lower Austria,Lower Austria (Federal State of Austria)
4303,Upper Austria,Upper Austria (Federal State of Austria)
4304,Styria,Styria (Federal State of Austria)
4305,Tyrol,Tyrol (Federal State of Austria)
4306,Carinthia,Carinthia (Federal State of Austria)
4307,Salzburg,Salzburg (Federal State of Austria)
4308,Vorarlberg,Vorarlberg (Federal State of Austria)
4309,Burgenland,Burgenland (Federal State of Austria)
